Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,25,2151,2176,Kyaikemaraw,MMR011002
 Rural,2087,34625,36712,Kyaikemaraw,MMR011002
 Total,2112,36776,38888,Kyaikemaraw,MMR011002
