Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,602,602,Kyauktalongyi(ST),MMR014001
 Rural,278,11385,11663,Kyauktalongyi(ST),MMR014001
 Total,278,11987,12265,Kyauktalongyi(ST),MMR014001
