Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,16,43304,43320,Thingangyun,MMR013009
 Total,16,43304,43320,Thingangyun,MMR013009
