Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,33,744,777,Ahmar(ST),MMR017023
 Rural,4002,23007,27009,Ahmar(ST),MMR017023
 Total,4035,23751,27786,Ahmar(ST),MMR017023
