Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,2,750,752,Minenaung(ST),MMR014015
 Rural,3,5056,5059,Minenaung(ST),MMR014015
 Total,5,5806,5811,Minenaung(ST),MMR014015
