Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,14636,14637,Yankin,MMR013010
 Total,1,14636,14637,Yankin,MMR013010
