Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,8653,8653,Kyukme,MMR015012
 Rural,11,19707,19718,Kyukme,MMR015012
 Total,11,28360,28371,Kyukme,MMR015012
