Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,85,85,Mawhtike(ST),MMR015023
 Rural,-,4118,4118,Mawhtike(ST),MMR015023
 Total,-,4203,4203,Mawhtike(ST),MMR015023
