Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,427,427,Tontar(ST),MMR016007
 Rural,-,2267,2267,Tontar(ST),MMR016007
 Total,-,2694,2694,Tontar(ST),MMR016007
