Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,84,2386,2470,Pauktaw,MMR012007
 Rural,1565,26509,28074,Pauktaw,MMR012007
 Total,1649,28895,30544,Pauktaw,MMR012007
