Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,6874,6874,Pyawbwe,MMR010024
 Rural,170,51819,51989,Pyawbwe,MMR010024
 Total,170,58693,58863,Pyawbwe,MMR010024
