Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,17,3042,3059,Nyaungshwe,MMR014002
 Rural,15482,24093,39575,Nyaungshwe,MMR014002
 Total,15499,27135,42634,Nyaungshwe,MMR014002
