Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,75,1643,1718,Linkhe`,MMR014018
 Rural,499,6171,6670,Linkhe`,MMR014018
 Total,574,7814,8388,Linkhe`,MMR014018
