Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,74,2544,2618,Myebon,MMR012006
 Rural,2267,26454,28721,Myebon,MMR012006
 Total,2341,28998,31339,Myebon,MMR012006
