Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,4,758,762,Kenglat(ST),MMR016009
 Rural,-,1714,1714,Kenglat(ST),MMR016009
 Total,4,2472,2476,Kenglat(ST),MMR016009
