Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,37,5220,5257,Zalun,MMR017009
 Rural,3916,32900,36816,Zalun,MMR017009
 Total,3953,38120,42073,Zalun,MMR017009
