Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,93,5212,5305,Wakema,MMR017017
 Rural,13317,48826,62143,Wakema,MMR017017
 Total,13410,54038,67448,Wakema,MMR017017
