Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,2487,2487,Tamoenye(ST),MMR015011
 Rural,6,10556,10562,Tamoenye(ST),MMR015011
 Total,6,13043,13049,Tamoenye(ST),MMR015011
