Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,21,43854,43875,Pyigyidagun,MMR010005
 Total,21,43854,43875,Pyigyidagun,MMR010005
