Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,5223,5224,Panglong(ST),MMR014011
 Rural,-,9292,9292,Panglong(ST),MMR014011
 Total,1,14515,14516,Panglong(ST),MMR014011
