Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,4720,4720,Thazi,MMR010030
 Rural,322,39850,40172,Thazi,MMR010030
 Total,322,44570,44892,Thazi,MMR010030
