Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,60,1597,1657,Ngazun,MMR010021
 Rural,781,25400,26181,Ngazun,MMR010021
 Total,841,26997,27838,Ngazun,MMR010021
