Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,31,6725,6756,Thongwa,MMR013025
 Rural,689,32642,33331,Thongwa,MMR013025
 Total,720,39367,40087,Thongwa,MMR013025
