Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,95,5211,5306,Kyangin,MMR017012
 Rural,395,21156,21551,Kyangin,MMR017012
 Total,490,26367,26857,Kyangin,MMR017012
