Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,17,56631,56648,Taunggyi,MMR014001
 Rural,39,25917,25956,Taunggyi,MMR014001
 Total,56,82548,82604,Taunggyi,MMR014001
