Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,9,20626,20635,Sangyoung,MMR013039
 Total,9,20626,20635,Sangyoung,MMR013039
