Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,17,6791,6808,Tantyan,MMR015004
 Rural,6,28328,28334,Tantyan,MMR015004
 Total,23,35119,35142,Tantyan,MMR015004
