Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,8,14448,14456,Pyinmana,MMR018006
 Rural,71,25136,25207,Pyinmana,MMR018006
 Total,79,39584,39663,Pyinmana,MMR018006
