Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,2,776,778,Khawzar,MMR011006
 Rural,18,4022,4040,Khawzar,MMR011006
 Total,20,4798,4818,Khawzar,MMR011006
