Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,155,155,Naphang,MMR015006
 Rural,17,16302,16319,Naphang,MMR015006
 Total,17,16457,16474,Naphang,MMR015006
