Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,1959,1959,Minepan,MMR014021
 Rural,9,3453,3462,Minepan,MMR014021
 Total,9,5412,5421,Minepan,MMR014021
