Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,4,2648,2652,Tada U,MMR010016
 Rural,787,29188,29975,Tada U,MMR010016
 Total,791,31836,32627,Tada U,MMR010016
