Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,36,7480,7516,Kyaikto,MMR011009
 Rural,125,30447,30572,Kyaikto,MMR011009
 Total,161,37927,38088,Kyaikto,MMR011009
