Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,613,613,Minengaw(ST),MMR015012
 Rural,1,3415,3416,Minengaw(ST),MMR015012
 Total,1,4028,4029,Minengaw(ST),MMR015012
