Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,4,766,770,Laymyethna,MMR017010
 Rural,2424,23050,25474,Laymyethna,MMR017010
 Total,2428,23816,26244,Laymyethna,MMR017010
