Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,99,1376,1475,Kyeintali(ST),MMR012017
 Rural,95,4511,4606,Kyeintali(ST),MMR012017
 Total,194,5887,6081,Kyeintali(ST),MMR012017
