Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,721,721,Ponparkyin(ST),MMR016008
 Rural,2,6611,6613,Ponparkyin(ST),MMR016008
 Total,2,7332,7334,Ponparkyin(ST),MMR016008
