Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,8246,8246,Zeyarthiri,MMR018001
 Rural,37,17792,17829,Zeyarthiri,MMR018001
 Total,37,26038,26075,Zeyarthiri,MMR018001
