Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,290,49444,49734,Mawlamyine,MMR011001
 Rural,234,7489,7723,Mawlamyine,MMR011001
 Total,524,56933,57457,Mawlamyine,MMR011001
