Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,96,405,501,Pyinsalu(ST),MMR017016
 Rural,5517,14419,19936,Pyinsalu(ST),MMR017016
 Total,5613,14824,20437,Pyinsalu(ST),MMR017016
