Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,320,6883,7203,Labutta,MMR017016
 Rural,171,47772,47943,Labutta,MMR017016
 Total,491,54655,55146,Labutta,MMR017016
