Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,251,5649,5900,Nyaungdon,MMR017021
 Rural,182,45119,45301,Nyaungdon,MMR017021
 Total,433,50768,51201,Nyaungdon,MMR017021
