Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,45,1110,1155,Ywarngan,MMR014007
 Rural,36,17157,17193,Ywarngan,MMR014007
 Total,81,18267,18348,Ywarngan,MMR014007
