Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,6655,19263,25918,Mingala Taungnyunt,MMR013022
 Total,6655,19263,25918,Mingala Taungnyunt,MMR013022
