Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,150,2109,2259,Pindaya,MMR014006
 Rural,76,15209,15285,Pindaya,MMR014006
 Total,226,17318,17544,Pindaya,MMR014006
