Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,131,1587,1718,Linkhe`,MMR014018
 Rural,140,6530,6670,Linkhe`,MMR014018
 Total,271,8117,8388,Linkhe`,MMR014018
