Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,282,7596,7878,Khayan,MMR013026
 Rural,244,31192,31436,Khayan,MMR013026
 Total,526,38788,39314,Khayan,MMR013026
