Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,91,1067,1158,Kunlon,MMR015020
 Rural,125,9109,9234,Kunlon,MMR015020
 Total,216,10176,10392,Kunlon,MMR015020
