Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,193,2459,2652,Tada U,MMR010016
 Rural,160,29815,29975,Tada U,MMR010016
 Total,353,32274,32627,Tada U,MMR010016
