Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,149,2897,3046,Einme,MMR017015
 Rural,184,43225,43409,Einme,MMR017015
 Total,333,46122,46455,Einme,MMR017015
