Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,193,1368,1561,Minesat,MMR016006
 Rural,170,14178,14348,Minesat,MMR016006
 Total,363,15546,15909,Minesat,MMR016006
