Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,76,777,853,Minemaw,MMR015008
 Rural,42,9550,9592,Minemaw,MMR015008
 Total,118,10327,10445,Minemaw,MMR015008
