Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,13,820,833,Ngayokaung(ST),MMR017004
 Rural,40,9328,9368,Ngayokaung(ST),MMR017004
 Total,53,10148,10201,Ngayokaung(ST),MMR017004
