Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,32,1156,1188,Thabeikkyin,MMR010012
 Rural,327,24234,24561,Thabeikkyin,MMR010012
 Total,359,25390,25749,Thabeikkyin,MMR010012
