Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,502,8511,9013,Kyaukpadaung,MMR010020
 Rural,229,52719,52948,Kyaukpadaung,MMR010020
 Total,731,61230,61961,Kyaukpadaung,MMR010020
