Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,79,1665,1744,Chaungzon,MMR011003
 Rural,397,25803,26200,Chaungzon,MMR011003
 Total,476,27468,27944,Chaungzon,MMR011003
