Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,29,1807,1836,Indaw(ST),MMR014008
 Rural,19,6295,6314,Indaw(ST),MMR014008
 Total,48,8102,8150,Indaw(ST),MMR014008
