Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,218,3132,3350,Thandwe,MMR012015
 Rural,326,27399,27725,Thandwe,MMR012015
 Total,544,30531,31075,Thandwe,MMR012015
