Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,555,11958,12513,Myaungmya,MMR017014
 Rural,213,53446,53659,Myaungmya,MMR017014
 Total,768,65404,66172,Myaungmya,MMR017014
