Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,3,281,284,Minekoke(ST),MMR016006
 Rural,11,2907,2918,Minekoke(ST),MMR016006
 Total,14,3188,3202,Minekoke(ST),MMR016006
