Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,147,3419,3566,Daydaye,MMR017026
 Rural,168,44876,45044,Daydaye,MMR017026
 Total,315,48295,48610,Daydaye,MMR017026
