Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,52,142,194,Kongyan,MMR015023
 Rural,7,5261,5268,Kongyan,MMR015023
 Total,59,5403,5462,Kongyan,MMR015023
