Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,36,1757,1793,Tagaung,MMR010012
 Rural,10,5589,5599,Tagaung,MMR010012
 Total,46,7346,7392,Tagaung,MMR010012
