Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,4223,72761,76984,Dagon Myothit(South),MMR013018
 Total,4223,72761,76984,Dagon Myothit(South),MMR013018
